gene,safe_1,safe_2,safe_3,safe_4,safe_osi_1,safe_osi_2,safe_osi_3,safe_osi_4
DDX11L1,0,0,0,0,0,0,0,0
WASH7P,0,4,0,1,0,1,1,0
MIR6859-1,0,0,0,0,0,0,0,0
RP11-34P13.3,0,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0
OR4G4P,0,0,0,0,0,0,0,0
OR4G11P,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0
RP11-34P13.7,1,0,0,0,0,0,0,0
RP11-34P13.8,0,0,0,0,0,0,0,0
RP11-34P13.10,3,2,3,2,1,0,2,1
RP11-34P13.15,13,29,13,6,9,9,11,31
RP11-34P13.16,38,35,27,37,34,34,42,30
RP11-34P13.14,0,0,0,0,0,0,0,0
RP11-34P13.13,3,2,4,3,5,6,2,2
RNU6-1100P,0,0,0,0,0,0,0,0
RP11-34P13.9,0,0,0,0,0,0,0,0
ABC7-43046700E7.1,0,0,0,0,0,0,0,0
RP11-34P13.18,3,13,13,10,14,11,11,20
MIR6859-2,0,0,0,0,0,0,0,0
AP006222.1,30,26,18,27,29,33,22,24
RPL23AP24,0,0,0,0,0,0,0,0
RP4-669L17.2,0,0,0,0,0,0,0,0
RP4-669L17.4,16,22,25,16,19,24,20,10
RP4-669L17.6,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0
CICP7,0,0,0,0,0,0,0,0
RP4-669L17.8,0,0,0,0,0,0,0,0
RF00026,0,1,1,2,1,2,1,0
RP11-206L10.17,1,4,3,0,2,6,1,2
RP5-857K21.2,0,0,0,0,0,0,0,0
RP5-857K21.9,57,76,62,85,99,74,116,78
RP5-857K21.8,3131,3625,3456,3580,4026,3734,3949,3161
RP5-857K21.6,774,894,919,828,1403,1156,1328,1112
MIR6723,0,0,0,0,0,0,0,0
RP5-857K21.7,64,53,71,61,79,58,88,82
RP5-857K21.14,9,5,14,4,11,7,17,4
RP5-857K21.10,8306,10006,9391,10094,13071,10845,11785,9889
RP5-857K21.11,24,23,31,23,50,40,50,37
RP5-857K21.12,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0
RP11-206L10.15,1,1,1,1,1,1,0,3
RP11-206L10.2,15,23,28,23,25,31,27,23
RNU6-1199P,0,0,0,0,0,0,0,0
RP11-206L10.4,0,0,0,0,0,0,0,0
RP11-206L10.9,3,6,11,11,4,18,11,8
RP11-206L10.18,0,0,0,0,0,0,0,0
RP11-206L10.8,3,1,3,1,4,2,5,7
FAM87B,6,8,3,2,18,12,12,12
RP11-206L10.11,329,372,353,338,280,309,237,231
NCRNA00115,12,19,5,5,4,4,2,8
FAM41C,0,0,0,0,0,0,0,0
TUBB8P11,2,3,2,2,0,0,1,1
FAM166AP3,0,0,0,0,0,0,0,0
RP11-54O7.16,12,7,8,8,13,13,14,18
RP11-54O7.1,68,78,61,56,81,78,75,77
RP11-54O7.2,0,0,0,0,0,1,0,0
RP11-54O7.3,101,114,114,115,403,531,593,502
SAMD11,178,218,185,115,673,841,1097,900
NOC2L,6396,7265,6615,5573,3351,3290,3271,3180
KLHL17,682,845,625,557,610,592,627,640
PLEKHN1,465,559,462,432,470,503,515,691
PERM1,134,173,150,118,164,146,154,192
RP11-54O7.17,175,177,170,166,125,119,136,225
HES4,129,193,134,116,104,107,111,162
ISG15,1473,1884,1452,1037,1477,1606,1970,2005
RP11-54O7.10,0,2,2,0,2,3,2,1
RP11-54O7.11,3,5,5,8,12,17,6,7
AGRN,6469,8982,6562,5656,7612,7880,8613,9342
RP11-54O7.14,0,0,0,0,0,0,0,0
RP11-465B22.3,386,466,447,538,647,637,683,820
RP11-54O7.18,57,62,45,53,65,60,71,72
RNF223,121,134,108,108,152,155,159,232
C1orf159,478,570,453,371,322,307,334,382
RP11-465B22.5,0,0,0,0,0,0,0,0
MIR200B,0,0,1,0,0,0,1,0
MIR200A,0,0,0,1,1,2,1,2
MIR429,3,1,1,1,2,2,0,0
RP11-465B22.8,24,24,15,33,11,25,23,50
RP11-465B22.6,0,0,1,2,0,2,2,1
TTLL10,4,3,5,1,4,1,5,7
TNFRSF18,102,122,119,91,78,90,105,108
TNFRSF4,3,0,1,1,2,2,3,1
SDF4,5706,6840,6072,5288,5909,5810,6028,5982
B3GALT6,924,1084,1026,1046,828,753,721,826
C1QTNF12,56,56,61,31,131,118,155,160
RP5-902P8.12,9,9,3,6,10,9,3,6
UBE2J2,1233,1476,1322,1222,1082,945,1026,1137
RP5-902P8.10,20,30,19,20,45,45,47,51
SCNN1D,137,128,123,114,211,214,189,272
