pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_G2M_CHECKPOINT,2.476815694763598e-31,1.238407847381799e-29,1.453344668564937,-0.919887317459039,-2.0665625896727287,191,24137;8318;6790;22974;332;3838;990;9212;51659;3835;9493;1033;7112;9700;983;55872;7272;3161;10733;890;4085;1062;699;9156;4751;11004;991;23649;10403;4605;51203;10024;56992;23594;29127;3832;4001;595;9133;7153;9232;5347;9585;1058;899;4172;26271;10721;10036;10293;10926;993;7468;8438;4171;10051;6839;1164;9221;7027;4288;1063;4678;6491;4174;11065;6434;1869;2146;6426;580;4691;7371;1736;4175;5558;3930;10419;3159;10460;3837;675;1163;5426;3619;10432;4957;6118;27338;1841;7150;8317;10212;6421;5933;10592;3184;6632;10492;9055;3192;1870;10146;2935;4953;996;3925;6427;9184;262;1874
HALLMARK_E2F_TARGETS,1.2341531337866444e-26,3.085382834466611e-25,1.3422337729644571,-0.9021720316522653,-2.0292607191513286,195,24137;6790;5111;55723;332;3838;146909;9212;3835;701;9787;1033;7112;9700;983;3161;9319;10733;4085;1062;11004;991;55143;23649;672;4605;23594;29127;4001;9133;7153;29028;6941;9232;10615;9837;5347;83461;55635;4172;57405;4176;993;5983;6241;11113;253714;1434;4171;79075;10051;10635;4173;147841;6839;1164;9221;4288;4678;5982;4174;6434;29893;3070;64785;29089;2146;84296;6426;580;9918;7913;9833;7374;7283;4175;55646;5558;10606;3930;3159;10460;29980;7398;4436;5902;81624;675;54962;55148;10528;8914;1163;5426;23165;79077;64858;6118;10714;1503;204;27338;79733;5036;3978;10212;203068;3184;4830;7083;10248;10492;1786;6749;57122;898;79677;2935;79019;81611;1965;3925;6427;6470;2547;5424;1633;84844;4999;11340;5411;9738;1854;4292;5889;11051;3149;8726;11200;5901;5425;8243;6628;9126;11168;3609;9238;9972;23047;197335
HALLMARK_MYC_TARGETS_V1,6.578918175351211e-17,1.0964863625585353e-15,1.0574635727508575,-0.8509423040175081,-1.914029399298017,195,8318;5111;3838;890;4085;991;7298;4176;6240;4171;4173;9221;7027;4174;6434;6426;5984;7913;6432;4175;54107;7398;5902;51491;3837;10528;6059;5496;8886;708;3181;1017;1503;3329;9188;9136;3608;6732;6723;5036;7203;8662;3184;4830;22948;6632;26156;10492;6627;26135;1478;3192;4686;1665;10146;2935;1965;10236;10054;56910;23450;2091;4953;6427;9184;3183;8669;3615;3336;7416;6626;23016;6950;6428;6637;6634;28973;5707;6418;10921;10574;2547;26354;10575;6741;4869;4999;10856;1854;3251;57819;2739;220988;7555;10907;7458;2806;10576;5901;5425;1977;2107;11335;1176;9868;1019;4609;7419;23435;10213;5634;1982;10971;5709;3326;8664;7284;5691;2079;10155;10728;1537;5887;5690;3066;11331;5704;1964;5714;7531;10549;790
HALLMARK_MITOTIC_SPINDLE,5.2444048613162235e-12,6.55550607664528e-11,0.8870749883998732,-0.8026632252294441,-1.807626355695412,198,24137;6790;22974;332;3835;9493;9787;9700;983;7272;1062;699;4751;11004;10403;51203;56992;29127;3832;4001;9133;7153;80119;5347;9585;54443;26271;1894;10051;1063;9735;675;3619;114791;10426;55835;9055
HALLMARK_SPERMATOGENESIS,6.920799562799694e-8,6.920799562799694e-7,0.7049757151672383,-0.8345332896088322,-1.7768996701546573,96,6790;1033;983;7272;699;23397;4751;11004;9133;10926;2146;5984;11073;10038;8624;11144;4771;51087;116832
HALLMARK_MYOGENESIS,1.1286475960025127e-7,9.405396633354273e-7,0.7049757151672383,0.6847076142110557,1.9410697644784387,169,3486;2934;1489;10014;4205;22808;11155;8912;26353;6016;7433;1140;2065;4151;79629;6535;8553;4303;7169;3691;7164;23604;1277;1674;3757;6649;2281;1191;2180;4616;7138;165;6319;1266;1410;2878;1152;10290;6450;1026;6876;140465;6442;9659;8614;22924;115;43;2224;624;22933;1837;3490;4209;1384;4641;1728;58529;8736;11345
HALLMARK_MYC_TARGETS_V2,5.073990984031486e-7,3.6242792743082045e-6,0.6594443980379349,-0.8769617471124629,-1.7637683784930411,57,6949;10733;5347;51154;4173;9221;4174;7374;51491;23160;10528;8886;79077;81887;3329;92856;9136;6723;10196;5036;83743;6652;23223;54663;705;27340;23082;10514;3336;10244;29078;2193;26354;4869;23481;51388;10199;11335;9238;1019;79711;4609;6573;27346;79050;80324;10171;56342
HALLMARK_HYPOXIA,1.2516504853475836e-5,7.822815533422397e-5,0.5933254763964051,0.5976645360700912,1.7028261343533337,184,901;54800;3486;58528;10957;1942;10397;56925;57007;1649;6518;4601;133;5292;8974;55818;8553;2745;6385;6513;2239;2309;1027;9469;2131;8660;26118;8991;5066;665;8459;2355;8609;4783;55076;4015;230;55577;467;23645;6515;3162;1026;1316;25824;2632;3623;8614;6275;694;3423;5155;1843;10370;6576;1837;23036
HALLMARK_INTERFERON_GAMMA_RESPONSE,1.4643741539807798e-5,8.135411966559888e-5,0.5933254763964051,0.6016450753468817,1.7118001093765947,177,6773;715;716;6398;629;4599;4939;6648;4600;7706;79132;6892;5292;6774;3429;10906;55008;6737;94240;7378;834;3430;219285;54625;91543;64135;2357;3383;55601;57162;26524;3620;6347;10628;129607;54739;3665;57823;10379;84159;9961;8743;10791;84166;80830;57674;5777;23424;10410;3106;567;3560;64108;6352;1026;3663;3660;6890;5699;84888;8673;3433;694
HALLMARK_INTERFERON_ALPHA_RESPONSE,3.355502511432343e-5,1.6777512557161715e-4,0.557332238758646,0.7123837174980088,1.8677147187382217,95,6773;2634;7318;135112;716;4599;2766;7706;4938;79132;3429;10906;55008;6737;94240;834;3430;219285;54625;91543;64135;8519;55601;4343;51667;10628;129607;3665;27074;10379;23424;10410;567;64108;3107;3660;6890;55281;3433;9246;85363;6402
