category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,60/560,155/6540,0.3870967741935484,4.5207373271889395,13.57432094397105,1.3167210966656476e-25,4.1345042435301335e-23,4.047184844488096e-23,991/699/4085/890/9319/891/7272/983/113130/9700/701/9212/990/5111/8318/10403/23594/595/9133/90381/4998/9232/5347/157570/4172/26271/4176/10926/993/4171/4173/151648/995/7027/4174/80174/1869/4175/1017/27085/9134/27127/8317/81620/5933/9088/896/1870/898/23595/545/1021/6502/1874/51434/5001/11200/8243/64682/5591,60
Genetic Information Processing,Replication and repair,hsa03030,DNA replication,27/560,36/6540,0.75,8.758928571428571,14.284394244200849,3.7988571134631064e-22,5.964205668137077e-20,5.838243563848563e-20,5111/23649/2237/4172/4176/5557/5983/5427/4171/5985/4173/5422/5982/4174/1763/5984/4175/5558/54107/5426/6118/10714/3978/246243/5424/79621/10535,27
Genetic Information Processing,Replication and repair,hsa03460,Fanconi anemia pathway,21/560,51/6540,0.4117647058823529,4.8088235294117645,8.355763562416902,2.643181158749831e-10,2.7665296128248234e-8,2.7081013977366695e-8,55215/672/641/2175/2177/146956/29089/80010/84126/2187/2189/7398/675/57697/6118/116028/83990/545/5429/9894/5888,21
Genetic Information Processing,Replication and repair,hsa03440,Homologous recombination,16/560,38/6540,0.42105263157894735,4.917293233082707,7.410601981934784,2.5322585056945398e-8,1.8046973526988462e-6,1.7665827254041676e-6,7516/672/641/8438/146956/580/11073/675/6118/10714/5932/7517/83990/5424/25788/5888,16
Genetic Information Processing,Replication and repair,hsa03410,Base excision repair,17/560,43/6540,0.3953488372093023,4.617109634551495,7.281796822247385,2.8737218992019846e-8,1.8046973526988462e-6,1.7665827254041676e-6,5111/2237/5983/5427/5985/55247/5982/5984/7374/54107/5426/10038/10714/3978/3146/5424/4913,17
Genetic Information Processing,Replication and repair,hsa03430,Mismatch repair,12/560,23/6540,0.5217391304347826,6.093167701863353,7.487332572413523,7.773451489778249e-8,4.068106279650617e-6,3.982189184237278e-6,9156/5111/5983/5985/5982/5984/4436/6118/10714/3978/2956/5424,12
Genetic Information Processing,Translation,hsa03008,Ribosome biogenesis in eukaryotes,22/560,74/6540,0.2972972972972973,3.472007722007722,6.54405473235984,1.1428233248196258e-7,5.1263789141908925e-6,5.018111441313244e-6,6949/84916/65083/1736/23160/51602/10528/55131/55226/92856/10248/29107/10885/23560/84135/10940/10436/54913/5901/27341/83732/5822,22
Genetic Information Processing,Translation,hsa03013,Nucleocytoplasmic transport,24/560,104/6540,0.23076923076923078,2.6950549450549453,5.332016964529501,4.936953718431306e-6,1.9377543344842877e-4,1.8968295865551862e-4,3838/55706/1434/9688/129401/4927/79902/23165/3843/348995/57510/23511/29107/5905/57122/10189/64328/81929/23636/9631/5901/55110/79023/79711,24
Cellular Processes,Cell growth and death,hsa04114,Oocyte meiosis,24/560,109/6540,0.22018348623853212,2.5714285714285716,5.062531395345185,1.1670202812839107e-5,4.071604092479422e-4,3.985613124384818e-4,991/699/4085/891/983/9700/6790/9133/9232/5347/26271/151648/995/1017/9134/27127/9088/898/805/286151/51434/109/8243/64682,24
Metabolism,Nucleotide metabolism,hsa00240,Pyrimidine metabolism,15/560,54/6540,0.2777777777777778,3.244047619047619,5.066867720457938,2.9957861367429167e-5,9.406768469372758e-4,9.208100546620334e-4,7298/4907/6241/6240/7371/1723/79077/1503/1841/7372/4830/7083/1633/1854/956,15
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,17/560,72/6540,0.2361111111111111,2.757440476190476,4.588396685256899,8.75952127903885e-5,0.0025004451651074538,0.0024476365679228177,891/983/51512/595/9133/6241/1017/9134/896/898/545/1021/54205/598/11200/10572/596,17
Metabolism,Global and overview maps,hsa01232,Nucleotide metabolism,17/560,74/6540,0.22972972972972974,2.682915057915058,4.455118869921664,1.2608440987487319e-4,0.0032992087250591816,0.0032295304985493836,7298/4907/6241/6240/7371/8833/79077/1503/204/1841/4830/7083/1633/1854/4860/7498/956,17
Human Diseases,Cancer: specific types,hsa05222,Small cell lung cancer,17/560,90/6540,0.18888888888888888,2.2059523809523807,3.5250935497718325,0.0014115418188349268,0.034094163931859,0.033374106161927014,3655/595/1164/1869/3912/1163/1017/9134/1870/898/1021/6502/54205/598/596/330/22798,17
Organismal Systems,Endocrine system,hsa04914,Progesterone-mediated oocyte maturation,16/560,84/6540,0.19047619047619047,2.224489795918367,3.456305661428028,0.0017632801537805231,0.03954785487764887,0.03871261691006863,699/4085/890/891/983/3835/6790/9133/5347/993/995/1017/9088/51434/109/64682,16
Cellular Processes,Cell growth and death,hsa04218,Cellular senescence,23/560,146/6540,0.15753424657534246,1.8397749510763208,3.140162467398431,0.002907888919399645,0.060871808046099235,0.05958621505015413,890/891/983/4605/595/9133/993/1869/2305/1017/9134/286826/5933/896/1870/898/545/1021/805/1874/11200/4773/3576,23
Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,29/560,202/6540,0.14356435643564355,1.6766265912305516,2.9891500673954825,0.0037184100663509713,0.07297379755213781,0.07143261443253182,991/4085/890/8061/9700/701/595/9133/9232/1869/5902/1017/9134/896/1870/898/545/51434/109/598/11200/4773/5901/64682/1958/4487/1437/7015/1959,29
Genetic Information Processing,Replication and repair,hsa03420,Nucleotide excision repair,12/560,60/6540,0.2,2.335714285714286,3.180539424829733,0.004241520165480131,0.07834337246828006,0.07668878565450143,5111/5983/5427/5985/5982/5984/54107/5426/6118/10714/3978/5424,12
Metabolism,Nucleotide metabolism,hsa00230,Purine metabolism,17/560,105/6540,0.1619047619047619,1.8908163265306124,2.815837783686338,0.007434581723578675,0.12969214784465022,0.12695309142017386,4907/6241/6240/2618/10606/8833/5471/204/5198/4830/1633/109/5142/4860/7498/956/10846,17
Cellular Processes,Cell motility,hsa04814,Motor proteins,23/560,172/6540,0.13372093023255813,1.5616694352159466,2.2842444451969475,0.020555107734212607,0.3373935736704313,0.33026792997574905,11004/1062/3833/9493/3835/146909/24137/56992/3832/9585/347240/9928/10376/10112/81930/7283/203068/10383/84617/84790/22989/23046/285643,23
Metabolism,Xenobiotics biodegradation and metabolism,hsa00983,Drug metabolism - other enzymes,9/560,49/6540,0.1836734693877551,2.145043731778426,2.461860268032016,0.02149003653951792,0.3373935736704313,0.33026792997574905,6241/6240/7371/8833/7372/4830/7083/1854/7498,9
Genetic Information Processing,Transcription,hsa03040,Spliceosome,20/560,147/6540,0.1360544217687075,1.588921282798834,2.2098492828842766,0.024979653392186867,0.37350529357841317,0.3656169819808805,6434/6426/6432/9410/9128/27316/10946/6632/6627/9879/10189/10915/6427/6636/25804/10465/6637/84844/55110/11157,20
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,18/560,138/6540,0.13043478260869565,1.5232919254658384,1.9011869824842205,0.04634985087017197,0.6615387806015454,0.6475672944540772,890/2118/7468/2115/2119/8091/85414/598/1848/84444/8864/3576/1437/330/3087/597/3207/2078,18
Human Diseases,Endocrine and metabolic disease,hsa04950,Maturity onset diabetes of the young,4/560,17/6540,0.23529411764705882,2.7478991596638656,2.208087276188044,0.051581094712742144,0.6890863753667196,0.674533092883279,3170/3087/168620/3110,4
Human Diseases,Drug resistance: antineoplastic,hsa01524,Platinum drug resistance,10/560,66/6540,0.15151515151515152,1.7694805194805197,1.922570791034849,0.05266902232102315,0.6890863753667196,0.674533092883279,332/672/7153/4436/2956/5429/54205/598/596/330,10
Metabolism,Metabolism of cofactors and vitamins,hsa00670,One carbon pool by folate,6/560,33/6540,0.18181818181818182,2.1233766233766236,1.9796619647207772,0.05823211079874883,0.7313953116322853,0.7159484780309329,7298/2618/1719/55349/4522/2731,6
NA,NA,hsa04981,Folate transport and metabolism,4/560,20/6540,0.2,2.335714285714286,1.8306438502897462,0.08584025234440555,0.9999999872468976,0.9788803093399066,7298/1719/4522/6573,4
Human Diseases,Endocrine and metabolic disease,hsa04934,Cushing syndrome,16/560,131/6540,0.12213740458015267,1.4263904034896402,1.5085059376687404,0.09271277061233787,0.9999999872468976,0.9788803093399066,595/1869/1017/9134/7477/1870/898/1021/57552/7480/109/7483/84876/5330/5332/8325,16
Cellular Processes,Cellular community - eukaryotes,hsa04540,Gap junction,10/560,74/6540,0.13513513513513514,1.5781853281853284,1.5306086625082174,0.0981508506812862,0.9999999872468976,0.9788803093399066,983/10376/203068/10383/109/84617/84790/5330/5332/1902,10
Genetic Information Processing,"Folding, sorting and degradation",hsa03018,RNA degradation,9/560,67/6540,0.13432835820895522,1.5687633262260128,1.4319085207372952,0.1160750854057799,0.9999999872468976,0.9788803093399066,23404/87178/3329/25804/5393/11340/51010/11157/54512,9
Genetic Information Processing,Transcription,hsa03020,RNA polymerase,5/560,31/6540,0.16129032258064516,1.8836405529953915,1.5090319678252704,0.12089576951262282,0.9999999872468976,0.9788803093399066,10622/51728/64425/84172/55718,5
Cellular Processes,Cell growth and death,hsa04215,Apoptosis - multiple species,5/560,31/6540,0.16129032258064516,1.8836405529953915,1.5090319678252704,0.12089576951262282,0.9999999872468976,0.9788803093399066,332/54205/598/596/330,5
Human Diseases,Immune disease,hsa05340,Primary immunodeficiency,4/560,24/6540,0.16666666666666666,1.9464285714285714,1.4213532138144103,0.14444812163416534,0.9999999872468976,0.9788803093399066,7374/6891/84876/3575,4
Organismal Systems,Digestive system,hsa04980,Cobalamin transport and metabolism,3/560,16/6540,0.1875,2.189732142857143,1.4579791064071568,0.1520061113018895,0.9999999872468976,0.9788803093399066,25974/51293/6947,3
Human Diseases,Cancer: overview,hsa05206,MicroRNAs in cancer,18/560,164/6540,0.10975609756097561,1.2817944250871078,1.1183539009651213,0.16339059694028005,0.9999999872468976,0.9788803093399066,113130/9493/672/595/993/995/1869/2146/3371/9134/1786/1870/898/1021/8091/85414/3667/596,18
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,19/560,179/6540,0.10614525139664804,1.2396249002394255,0.9947062642838895,0.19228604672856087,0.9999999872468976,0.9788803093399066,8862/136/1903/2925/134/5646/27346/5026/2902/1909/10874/10161/2563/1902/399967/6752/5618/1146/1443,19
Human Diseases,Infectious disease: viral,hsa05162,Measles,12/560,106/6540,0.11320754716981132,1.3221024258760108,1.0230703307254292,0.19412368170824526,0.9999999872468976,0.9788803093399066,595/1017/9134/896/898/1021/1965/54205/3654/598/596/3592,12
Human Diseases,Drug resistance: antineoplastic,hsa01523,Antifolate resistance,4/560,27/6540,0.14814814814814814,1.73015873015873,1.1633428243726016,0.1961593684968312,0.9999999872468976,0.9788803093399066,7298/2618/1719/6573,4
Cellular Processes,Cell growth and death,hsa04210,Apoptosis,14/560,127/6540,0.11023622047244094,1.2874015748031495,1.0008280626123136,0.196435189131632,0.9999999872468976,0.9788803093399066,332/4001/10376/10038/84823/1075/1965/54205/598/84790/4803/596/330/597,14
Metabolism,Metabolism of other amino acids,hsa00480,Glutathione metabolism,6/560,46/6540,0.13043478260869565,1.5232919254658384,1.0898479142924822,0.1971803914773196,0.9999999872468976,0.9788803093399066,6241/6240/494143/6723/79017/4953,6
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,31/560,313/6540,0.09904153354632587,1.15666362391602,0.8691605267513297,0.21869003850261406,0.9999999872468976,0.9788803093399066,55706/10452/9688/10376/6432/129401/4927/79902/23165/348995/10280/203068/23511/10383/29107/57122/10189/1965/5708/81929/23636/3084/9631/54205/84617/598/84790/7133/79023/2902/596,31
Human Diseases,Infectious disease: parasitic,hsa05145,Toxoplasmosis,11/560,99/6540,0.1111111111111111,1.2976190476190474,0.9130630342157113,0.225012366349539,0.9999999872468976,0.9788803093399066,3655/3912/54205/3654/598/10105/596/330/3592/22798/345611,11
Metabolism,Amino acid metabolism,hsa00310,Lysine degradation,7/560,58/6540,0.1206896551724138,1.4094827586206897,0.9585045835829078,0.22520482048920745,0.9999999872468976,0.9788803093399066,7468/6839/2146/51166/79723/84444/63976,7
