category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,45/783,202/6540,0.22277227722772278,1.8607033117104814,4.582383961762586,2.012191790564316e-5,0.00440058867505424,0.003960459834760216,10398/3728/27063/3690/7059/57159/11155/72/1824/477/1302/7169/25777/3694/3691/6385/1278/1298/1277/1674/3696/10529/3674/752/6442/50509/84676/58529/8736/171024/7136/1286/7111/58498/7125/25802/1299/9499/51778/1285/7139/89/7140/1281/4892,45
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,16/783,45/6540,0.35555555555555557,2.969774372073223,4.889580458601178,3.4137652500025496e-5,0.00440058867505424,0.003960459834760216,3872/715/716/3868/728/718/629/2357/2212/3426/3075/1672/720/721/3857/5648,16
Human Diseases,Cardiovascular disease,hsa05412,Arrhythmogenic right ventricular cardiomyopathy,21/783,70/6540,0.3,2.5057471264367814,4.670757907138515,4.142827053106134e-5,0.00440058867505424,0.003960459834760216,3728/3690/489/59283/27092/784/1824/3694/3691/83439/1674/3696/6543/59285/3674/778/6442/93589/1496/89/10368,21
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,41/783,185/6540,0.22162162162162163,1.8510924717821269,4.330552128959275,5.3179319336002906e-5,0.00440058867505424,0.003960459834760216,4804/7042/90/8764/1489/3593/3557/9518/57007/970/8744/2057/58191/6347/8740/94/8743/2920/163702/3560/6352/2921/4050/7124/3623/9235/83729/26525/51561/8200/1232/3569/50615/6373/146433/6361/9966/3553/50604/7292/3456,41
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,18/783,59/6540,0.3050847457627119,2.5482174167153713,4.4052988813230325,1.1417765242550613e-4,0.007558560590568506,0.006802584344509102,715/5627/716/728/718/629/5345/1191/5624/3426/710/3075/7448/720/721/7450/5648/5270,18
Human Diseases,Cardiovascular disease,hsa05410,Hypertrophic cardiomyopathy,22/783,81/6540,0.2716049382716049,2.268577645333712,4.236579459011436,1.4325696995170654e-4,0.007903009509002478,0.007112582894093501,183/7042/3690/489/59283/27092/784/7169/3694/3691/1674/3696/6543/59285/3674/778/6442/7124/93589/3569/7139/10368,22
Human Diseases,Cardiovascular disease,hsa05414,Dilated cardiomyopathy,22/783,82/6540,0.2682926829268293,2.240912064293057,4.170012412289383,1.7416032614447555e-4,0.008235295421974487,0.007411634932163396,183/7042/3690/489/59283/27092/784/7169/3694/3691/1674/3696/6543/59285/3674/778/6442/7124/196883/93589/7139/10368,22
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,20/783,72/6540,0.2777777777777778,2.3201362281822053,4.153731567162732,2.0433312429210865e-4,0.008454283017585995,0.007608720286140362,6550/477/1302/9056/1278/1298/1277/1296/6543/23428/1803/57642/50509/1286/136227/1299/7373/1285/10008/1281,20
Metabolism,Lipid metabolism,hsa00590,Arachidonic acid metabolism,15/783,48/6540,0.3125,2.6101532567049808,4.128925177569777,3.134337649332518e-4,0.011527397354767372,0.010374474324691258,8605/8398/1571/2678/8644/3248/247/246/64600/240/4051/123745/5730/11283/5740,15
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,20/783,75/6540,0.26666666666666666,2.227330779054917,3.9422705678727428,3.707673367045969e-4,0.012272398844922159,0.011044963819726415,6696/3690/7059/3913/3694/3691/6385/1278/1298/1277/3696/3674/7148/1286/7448/1299/1285/7450/10319/948,20
