gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,entrez_id,description
CDCA8,1894.844057,-3.463662006,0.06993591,0,0,55143,cell division cycle associated 8
CDC20,6282.636887,-2.853754647,0.070218198,0,0,991,cell division cycle 20
KIF2C,1981.576999,-3.34612309,0.082640955,0,0,11004,kinesin family member 2C
NES,6116.478198,-2.067325136,0.055099875,0,0,10763,nestin
NUF2,1662.559547,-3.454903416,0.073332421,0,0,83540,NUF2 component of NDC80 kinetochore complex
NEK2,1072.890873,-3.159384246,0.082409702,0,0,4751,NIMA related kinase 2
DTL,2276.113091,-3.538664182,0.080256659,0,0,51514,denticleless E3 ubiquitin protein ligase homolog
EXO1,2037.767395,-3.371807455,0.072389362,0,0,9156,exonuclease 1
NCAPH,1925.920758,-3.70592399,0.083920604,0,0,23397,non-SMC condensin I complex subunit H
BUB1,3859.695696,-3.170093809,0.071605485,0,0,699,BUB1 mitotic checkpoint serine/threonine kinase
CKAP2L,1181.263055,-3.417573231,0.086611768,0,0,150468,cytoskeleton associated protein 2 like
ITGA6,6017.42784,-2.390380811,0.057511184,0,0,3655,integrin subunit alpha 6
SGO2,1432.023205,-2.826667066,0.073894202,0,0,151246,shugoshin 2
HJURP,2043.070813,-3.785336986,0.066950643,0,0,55355,Holliday junction recognition protein
PLCD1,1086.405345,3.49457473,0.090569187,0,0,5333,phospholipase C delta 1
KIAA1524,2294.974719,-2.77332729,0.062017738,0,0,NA,NA
NCAPG,1715.796665,-3.322720573,0.074212848,0,0,64151,non-SMC condensin I complex subunit G
CCNG2,1967.557787,3.362508196,0.070283338,0,0,901,cyclin G2
CENPE,2059.768925,-3.27518924,0.080759991,0,0,1062,centromere protein E
MAD2L1,1335.979618,-3.015543885,0.075716946,0,0,4085,mitotic arrest deficient 2 like 1
CCNA2,1681.422331,-3.468023749,0.068699235,0,0,890,cyclin A2
PLK4,1027.889723,-2.794830663,0.072379102,0,0,10733,polo like kinase 4
TRIP13,3092.982836,-2.81974368,0.070831477,0,0,9319,thyroid hormone receptor interactor 13
CCNB1,8580.491937,-2.868145908,0.061198343,0,0,891,cyclin B1
TCOF1,7007.775885,-2.730542712,0.072131979,0,0,6949,treacle ribosome biogenesis factor 1
HMMR,2127.44712,-3.261621421,0.066140304,0,0,3161,hyaluronan mediated motility receptor
KIFC1,1785.12673,-3.499451773,0.090553311,0,0,3833,kinesin family member C1
TTK,1321.775622,-3.2566423,0.079605479,0,0,7272,TTK protein kinase
XRCC2,1379.093074,-3.474503418,0.083326303,0,0,7516,X-ray repair cross complementing 2
CDCA2,1339.891491,-3.267400493,0.074155972,0,0,157313,cell division cycle associated 2
PBK,1353.957134,-3.4954887,0.089288973,0,0,55872,PDZ binding kinase
MCM10,1431.369591,-4.036802121,0.102344285,0,0,55388,minichromosome maintenance 10 replication initiation factor
CDK1,2973.591512,-3.598402519,0.093376871,0,0,983,cyclin dependent kinase 1
CEP55,2662.474901,-3.03635727,0.067163982,0,0,55165,centrosomal protein 55
CDCA5,3195.713795,-2.906886819,0.060584405,0,0,113130,cell division cycle associated 5
